playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB,GameAB,GameH,GameTB,GameG,GameR,GameRBI,Game2B,Game3B,GameHR,GameSB,H_should_have,TB_should_have,R_should_have,RBI_should_have,2B_should_have,3B_should_have,HR_should_have,SB_should_have,H_deviation,TB_deviation,R_deviation,RBI_deviation,2B_deviation,3B_deviation,HR_deviation,SB_deviation
abbotku01,Kurt Abbott,Right,0.26288659793814434,0.4175257731958763,0.3125,77,194,26,51,24,13,1,5,4,2,1,53,12,2,81,9,4,5,3,2,0,1,0,0,0,2.365979381443299,3.7577319587628866,1.012987012987013,0.935064935064935,0.6030927835051546,0.04639175257731959,0.23195876288659792,0.07792207792207792,1.634020618556701,1.2422680412371134,0.9870129870129869,-0.935064935064935,0.3969072164948454,-0.04639175257731959,-0.23195876288659792,-0.07792207792207792
abreubo01,Bobby Abreu,Left,0.3118712273641851,0.4969818913480885,0.4113597246127367,151,497,68,155,74,29,6,17,8,19,10,133,84,0,247,66,13,16,17,4,4,0,0,1,2,20.583501006036215,32.80080482897384,7.655629139072848,8.331125827814569,3.8511066398390343,0.7967806841046278,2.2575452716297786,2.1390728476821192,-7.583501006036215,-16.80080482897384,-3.6556291390728477,-4.331125827814569,-3.8511066398390343,-0.7967806841046278,-1.2575452716297786,-0.13907284768211925
alfoned01,Edgardo Alfonzo,Right,0.27827648114901254,0.4272890484739677,0.3568,144,557,94,155,78,28,2,17,5,8,3,77,65,3,238,42,10,17,11,5,6,1,0,2,2,11.687612208258527,17.946140035906645,7.180555555555555,5.958333333333333,2.111310592459605,0.15080789946140036,1.281867145421903,0.611111111111111,-1.6876122082585265,-0.9461400359066445,-2.1805555555555554,0.04166666666666696,-1.111310592459605,-0.15080789946140036,0.718132854578097,1.3888888888888888
alicelu01,Luis Alicea,Both,0.27413127413127414,0.4247104247104247,0.3754152823920266,101,259,51,71,33,15,3,6,7,4,3,40,37,5,110,6,3,4,4,4,1,1,0,0,0,1.6447876447876448,2.548262548262548,2.01980198019802,1.306930693069307,0.3474903474903475,0.0694980694980695,0.138996138996139,0.15841584158415842,1.3552123552123552,1.451737451737452,1.9801980198019802,-0.306930693069307,0.6525096525096525,-0.0694980694980695,-0.138996138996139,-0.15841584158415842
aloumo01,Moises Alou,Right,0.3116438356164384,0.5821917808219178,0.4026745913818722,159,584,104,182,124,34,5,38,6,11,3,87,84,5,340,41,11,23,10,7,10,3,0,3,0,12.777397260273974,23.86986301369863,6.5408805031446535,7.79874213836478,2.3869863013698627,0.35102739726027393,2.667808219178082,0.6918238993710691,-1.7773972602739736,-0.8698630136986303,0.4591194968553465,2.20125786163522,0.6130136986301373,-0.35102739726027393,0.33219178082191814,-0.6918238993710691
amarari01,Rich Amaral,Right,0.27611940298507465,0.34328358208955223,0.34459459459459457,73,134,25,37,4,6,0,1,1,11,1,24,13,1,46,31,14,19,9,5,6,5,0,0,2,8.559701492537314,10.641791044776118,3.0821917808219177,0.4931506849315068,1.3880597014925373,0,0.23134328358208955,1.3561643835616437,5.4402985074626855,8.358208955223882,1.9178082191780823,5.506849315068493,3.611940298507463,0,-0.23134328358208955,0.6438356164383563
amaroru02,Ruben Amaro,Both,0.18691588785046728,0.2616822429906542,0.23008849557522124,92,107,7,20,10,5,0,1,4,0,0,15,6,0,28,5,0,0,5,0,0,0,0,0,0,0.9345794392523364,1.308411214953271,0.3804347826086957,0.5434782608695652,0.2336448598130841,0,0.04672897196261682,0,-0.9345794392523364,-1.308411214953271,-0.3804347826086957,-0.5434782608695652,-0.2336448598130841,0,-0.04672897196261682,0
ariasal01,Alex Arias,Right,0.2932330827067669,0.37593984962406013,0.36054421768707484,56,133,17,39,16,8,0,1,2,2,0,18,13,1,50,25,6,6,9,2,3,0,0,0,2,7.330827067669173,9.398496240601503,2.7321428571428568,2.571428571428571,1.5037593984962405,0,0.18796992481203006,0.3214285714285714,-1.3308270676691727,-3.398496240601503,-0.7321428571428568,0.4285714285714288,-1.5037593984962405,0,-0.18796992481203006,1.6785714285714286
arrojro01,Rolando Arrojo,Right,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashbyan01,Andy Ashby,Right,0.1111111111111111,0.1388888888888889,0.13513513513513514,32,72,1,8,2,2,0,0,9,0,0,35,2,0,10,13,2,3,4,2,1,1,0,0,0,1.4444444444444444,1.8055555555555556,0.125,0.25,0.3611111111111111,0,0,0,0.5555555555555556,1.1944444444444444,1.875,0.75,0.6388888888888888,0,0,0
averyst01,Steve Avery,Left,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,1,1,-0.6666666666666666,0,0,0,0,0
baergca01,Carlos Baerga,Both,0.26614481409001955,0.3639921722113503,0.3068391866913124,147,511,46,136,53,27,1,7,10,0,1,55,24,6,186,43,10,16,11,5,3,3,0,1,0,11.444227005870841,15.651663405088062,3.4421768707482996,3.9659863945578233,2.2720156555772992,0.08414872798434442,0.5890410958904109,0,-1.4442270058708413,0.34833659491193814,1.5578231292517004,-0.9659863945578233,0.7279843444227008,-0.08414872798434442,0.41095890410958913,0
bagweje01,Jeff Bagwell,Right,0.3037037037037037,0.5574074074074075,0.4268292682926829,147,540,124,164,111,33,1,34,5,19,7,90,109,7,301,36,9,12,11,6,1,3,0,0,0,10.933333333333334,20.06666666666667,9.27891156462585,8.306122448979592,2.1999999999999997,0.06666666666666667,2.2666666666666666,1.4217687074829932,-1.9333333333333336,-8.06666666666667,-3.278911564625851,-7.3061224489795915,0.8000000000000003,-0.06666666666666667,-2.2666666666666666,-1.4217687074829932
beckro01,Rod Beck,Right,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beechma01,Matt Beech,Left,0.15151515151515152,0.15151515151515152,0.15151515151515152,20,33,2,5,2,0,0,0,6,0,0,10,0,0,5,3,0,0,4,0,0,0,0,0,0,0.4545454545454546,0.4545454545454546,0.4,0.4,0,0,0,0,-0.4545454545454546,-0.4545454545454546,-0.4,-0.4,0,0,0,0
belchti01,Tim Belcher,Right,0.2,0.2,0.2,2,5,1,1,0,0,0,0,1,0,0,2,0,0,1,7,1,1,3,0,0,0,0,0,0,1.4000000000000001,1.4000000000000001,1.5,0,0,0,0,0,-0.40000000000000013,-0.40000000000000013,-1.5,0,0,0,0,0
belleal01,Albert Belle,Right,0.3284072249589491,0.6551724137931034,0.4081041968162084,163,609,113,200,152,48,2,49,15,6,4,84,81,1,399,43,14,23,11,8,10,4,1,1,0,14.12151067323481,28.17241379310345,7.625766871165644,10.257668711656441,3.3891625615763545,0.1412151067323481,3.4597701149425286,0.40490797546012275,-0.1215106732348108,-5.172413793103448,0.3742331288343559,-0.2576687116564411,0.6108374384236455,0.8587848932676518,-2.4597701149425286,-0.40490797546012275
bellira01,Rafael Belliard,Right,0.25,0.25,0.25,7,20,1,5,1,0,0,0,0,0,0,1,0,0,5,4,2,2,4,1,0,0,0,0,0,1,1,0.5714285714285714,0.5714285714285714,0,0,0,0,1,1,0.4285714285714286,-0.5714285714285714,0,0,0,0
bereja01,Jason Bere,Right,0,0,0.06666666666666667,10,14,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biggicr01,Craig Biggio,Right,0.32507739938080493,0.5030959752321982,0.4051841746248295,160,646,123,210,88,51,2,20,5,50,8,113,64,23,325,54,19,27,13,12,2,5,0,1,2,17.554179566563466,27.1671826625387,9.99375,7.15,4.263157894736842,0.1671826625386997,1.671826625386997,4.0625,1.445820433436534,-0.16718266253869984,2.0062499999999996,-5.15,0.7368421052631584,-0.1671826625386997,-0.6718266253869969,-2.0625
bohanbr01,Brian Bohanon,Left,0.27906976744186046,0.37209302325581395,0.3111111111111111,37,43,1,12,5,2,1,0,4,0,0,13,2,0,16,12,4,5,4,2,0,1,0,0,0,3.3488372093023253,4.465116279069767,0.10810810810810811,0.5405405405405406,0.5581395348837209,0.27906976744186046,0,0,0.6511627906976747,0.5348837209302326,1.8918918918918919,-0.5405405405405406,0.4418604651162791,-0.27906976744186046,0,0
