playerID,name,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,E,PH,HBP,PB,TB
abbotku01,Kurt Abbott,0.444444444,0.555555556,0.5,3,9,2,4,,1,,,,,2,1,1,,1,,,5
abreubo01,Bobby Abreu,0.196969697,0.242424242,0.263888889,17,66,4,13,4,,,1,1,2,1,23,6,,,,,16
aguilri01,Rick Aguilera,,,,5,,,,,,,,,,,,,,,,,0
alfoned01,Edgardo Alfonzo,0.238095238,0.404761905,0.255813953,11,42,5,10,6,1,,2,,2,1,9,1,,,,,17
alicelu01,Luis Alicea,0.5,0.666666667,0.5,4,6,4,3,1,1,,,,,,1,,,,,,4
aloumo01,Moises Alou,0.268292683,0.56097561,0.318181818,10,41,7,11,10,3,,3,,,,13,3,1,,,,23
amarari01,Rich Amaral,0.451612903,0.612903226,0.514285714,9,31,5,14,6,5,,,1,2,1,6,3,1,,1,,19
amaroru02,Ruben Amaro,0,0,0.285714286,5,5,,,,,,,,,,3,2,,,,,0
ariasal01,Alex Arias,0.24,0.24,0.269230769,9,25,2,6,3,,,,2,2,,4,1,1,2,,,6
arrojro01,Rolando Arrojo,0,0,0,4,5,,,,,,,,,,2,,,,,,0
ashbyan01,Andy Ashby,0.153846154,0.230769231,0.153846154,4,13,2,2,1,1,,,1,,,3,,,,,,3
assenpa01,Paul Assenmacher,,,,5,,,,,,,,,,,,,,,,,0
averyst01,Steve Avery,0.25,0.25,0.25,2,4,,1,,,,,,,,2,,,,,,1
ayalabo01,Bobby Ayala,,,,1,,,,,,,,,,,,,,,,,0
baergca01,Carlos Baerga,0.23255814,0.372093023,0.23255814,11,43,5,10,3,3,,1,,,,6,,,1,,,16
bagweje01,Jeff Bagwell,0.25,0.333333333,0.341463415,11,36,6,9,1,3,,,1,,2,6,5,,,,,12
beckro01,Rod Beck,0,0,0,6,1,,,,,,,,,,1,,,,,,0
beechma01,Matt Beech,0,0,0,4,3,,,,,,,1,,,2,,,,,,0
belchti01,Tim Belcher,0.142857143,0.142857143,0.142857143,3,7,,1,,,,,,,,4,,,,,,1
belinst01,Stan Belinda,,,,6,,,,,,,,,,,,,,,,,0
belleal01,Albert Belle,0.325581395,0.534883721,0.369565217,11,43,8,14,10,4,1,1,2,,1,5,3,4,,,,23
bellira01,Rafael Belliard,0.5,0.5,0.5,4,4,1,2,,,,,,,,,,,,,,2
bereja01,Jason Bere,0,0,0,3,5,,,,,,,,,,1,,,,,,0
