Pitches / Hits,Name,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,E,HBP,PB,TB
left,Rico Brogna,0.178571429,0.196428571,0.220338983,17,56,2,10,7,1,,,,,2,9,3,,,,11
left,Bobby Abreu,0.196969697,0.242424242,0.263888889,17,66,4,13,4,,,1,1,2,1,23,6,,,,16
right,Mark Lewis,0.090909091,0.121212121,0.142857143,14,33,1,3,,1,,,,,,9,2,,,,4
right,Bobby Estalella,0.208333333,0.458333333,0.24,8,24,4,5,4,,,2,,,,6,1,1,,,11
both,Desi Relaford,0.219512195,0.243902439,0.238095238,13,41,2,9,2,1,,,,1,,11,1,2,1,,10
right,Curt Schilling,0.090909091,0.090909091,0.090909091,4,11,,1,,,,,1,,,1,,1,,,1
right,Kevin Sefcik,0.361111111,0.444444444,0.425,11,36,4,13,3,3,,,,1,1,10,4,,,,16
right,Kevin Jordan,0.25,0.285714286,0.25,10,28,1,7,3,1,,,,,,6,,1,,,8
right,Mark Parent,0.166666667,0.166666667,0.230769231,6,12,,2,,,,,,,,4,,,,1,2
right,Paul Byrd,0.142857143,0.142857143,0.142857143,3,7,,1,1,,,,,,,1,,,,,1
right,Mike Lieberthal,0.21875,0.25,0.242424242,9,32,,7,1,1,,,,1,2,4,,,,1,8
right,Alex Arias,0.24,0.24,0.269230769,9,25,2,6,3,,,,2,2,,4,1,1,,,6
right,Mark Leiter,,,,6,,,,,,,,,,,,,,,,0
right,Mark Portugal,0.5,0.833333333,0.625,3,6,1,3,1,2,,,,,,1,2,,,,5
left,Yorkis Perez,,,,10,,,,,,,,,,,,,,,,0
both,Jerry Spradlin,0.3,0.4,0.363636364,9,10,,3,,1,,,,,,3,1,,,,4
left,Jon Zuber,0.333333333,0.80952381,0.333333333,5,21,5,7,6,2,1,2,,,,5,,,,,17
left,Ricky Bottalico,,,,2,,,,,,,,,,,,,,,,0
right,Tyler Green,0,0,0,3,2,,,,,,,,,,,,,,,0
right,Wayne Gomes,,,,6,,,,,,,,,,,,,,,,0
both,Ruben Amaro,0,0,0.285714286,5,5,,,,,,,,,,3,2,,,,0
right,Carlton Loewer,0,0,0,1,1,,,,,,,,,,,,,,,0
left,Matt Beech,0,0,0,4,3,,,,,,,1,,,2,,,,,0
right,Mike Grace,0,0,0,2,1,,,,,,,,,,1,,,,,
right,Darrin Winston,,,,2,,,,,,,,,,,,,,,,
right,Ken Ryan,,,,1,,,,,,,,,,,,,,,,
left,Kenny Lofton,0.295081967,0.360655738,0.348484848,14,61,14,18,8,4,,,,1,1,14,5,1,,,22
right,Rickey Henderson,0.294117647,0.382352941,0.384615385,10,34,8,10,6,3,,,,,2,9,5,,1,,13
right,Mark McGwire,0.333333333,0.921568627,0.451612903,14,51,14,17,20,3,,9,1,,,19,11,,1,,47
left,Jeromy Burnitz,0.153846154,0.153846154,0.153846154,8,13,,2,,,,,,,,5,,1,,,2
both,Ray Durham,0.16,0.32,0.16,10,25,6,4,2,1,,1,,2,,6,,2,1,,8
right,Jim Leyritz,0.259259259,0.444444444,0.459459459,9,27,6,7,6,,1,1,,,,8,8,2,,2,12
both,Omar Vizquel,0.296296296,0.37037037,0.333333333,14,54,5,16,4,2,1,,,1,1,9,3,,,,20
left,Tony Saunders,0.5,0.5,0.666666667,3,4,,2,,,,,,,,1,2,,,,2
right,Manny Ramirez,0.294117647,0.411764706,0.294117647,12,34,5,10,5,1,,1,,,,6,,,,,14
right,Aaron Ledesma,0.5,0.6,0.545454545,6,10,,5,1,1,,,,,,,1,1,,,6
right,Juan Castro,0,0,0,3,6,,,,,,,,,,,,,,,0
left,Lance Painter,,,,7,,,,,,,,,,,,,,,,0
right,Antonio Osuna,,,,7,,,,,,,,,,,,,,,,0
left,Randy Myers,,,,4,,,,,,,,,,,,,,,,0
left,Omar Daal,0,0,0,5,7,,,,,,,1,,,4,,,,,0
right,Terry Steinbach,0.272727273,0.5,0.304347826,9,22,3,6,3,2,,1,,,,11,1,5,,,11
left,Fernando Vina,0.055555556,0.055555556,0.105263158,8,18,2,1,1,,,,,,,3,1,1,,,1
right,Tim Belcher,0.142857143,0.142857143,0.142857143,3,7,,1,,,,,,,,4,,,,,1
right,Vladimir Guerrero,0.230769231,0.269230769,0.285714286,9,26,2,6,3,1,,,,,,3,2,1,,,7
right,Edgardo Alfonzo,0.238095238,0.404761905,0.255813953,11,42,5,10,6,1,,2,,2,1,9,1,,,,17
left,John Mabry,0.157894737,0.421052632,0.2,9,19,1,3,4,2,,1,,,1,3,1,2,,,8
right,Bartolo Colon,0.125,0.125,0.125,3,8,,1,,,,,,,,1,,,,,1
right,Matt Mantei,,,,5,,,,,,,,,,,,,,,,0
right,Rod Beck,0,0,0,6,1,,,,,,,,,,1,,,,,0
right,Darryl Kile,0,0,0.25,3,3,,,,,,,,,,1,1,,,,0
right,Homer Bush,0,0,0,4,12,,,,,,,,,,2,,,,,0
right,Danny Darwin,0,0,0,1,1,,,,,,,,,,1,,,,,0
left,Mickey Morandini,0.315789474,0.315789474,0.370967742,16,57,9,18,3,,,,1,6,1,4,5,1,1,,18
right,Jeff Cirillo,0.359375,0.59375,0.414285714,16,64,13,23,10,3,,4,,1,1,11,6,,,,38
right,Shane Spencer,0.529411765,1.352941176,0.555555556,4,17,6,9,5,2,,4,,,,1,1,1,,,23
right,Juan Gonzalez,0.277777778,0.703703704,0.303571429,13,54,10,15,14,3,1,6,,,,14,2,3,2,,38
right,Mike Piazza,0.303030303,0.515151515,0.352112676,16,66,9,20,14,2,,4,,,2,9,4,4,,1,34
right,Andres Galarraga,0.384615385,0.646153846,0.420289855,16,65,12,25,10,2,,5,,,1,17,4,1,1,,42
right,Andruw Jones,0.236842105,0.473684211,0.292682927,13,38,6,9,4,,,3,,,2,9,3,,1,,18
both,Kevin Stocker,0.19047619,0.19047619,0.260869565,8,21,2,4,2,,,,1,,,6,2,2,,,4
right,Pedro Martinez,0,0,0.142857143,4,6,,,,,,,2,,,4,1,1,,,0
right,Rich Amaral,0.451612903,0.612903226,0.5,9,31,5,14,6,5,,,1,2,1,6,3,1,1,,19
both,Walt Weiss,0.264705882,0.323529412,0.342105263,10,34,4,9,5,2,,,,,,2,4,1,,,11
right,Andy Ashby,0.153846154,0.230769231,0.153846154,4,13,2,2,1,1,,,1,,,3,,,,,3
both,Otis Nixon,0.275862069,0.275862069,0.3,10,29,6,8,,,,,,1,,4,1,,,,8
right,Aaron Sele,0.4,0.5,0.4,4,10,1,4,3,1,,,,,,2,,,,,5
right,Jeff Conine,0.181818182,0.454545455,0.25,7,11,1,2,3,,,1,,,,5,1,,,,5
right,Armando Reynoso,0.25,0.25,0.4,3,4,,1,1,,,,1,,,2,1,,,,1
right,Paul Molitor,0,0,0,5,4,1,,,,,,,,,,,,,,0
right,Jesse Orosco,0,0,0,8,1,,,,,,,,,,,,,,,0
right,Robb Nen,0,0,0,5,2,,,,,,,1,,,1,,,,,0
right,Marc Pisciotta,,,,5,,,,,,,,,,,,,,,,0
both,Steve Kline,,,,6,,,,,,,,,,,,,,,,0
right,Jason Bere,0,0,0,3,5,,,,,,,,,,1,,,,,0
right,Tom Prince,0,0,0,4,2,,,,,,,,,,1,,,,,0
right,Mark Guthrie,,,,6,,,,,,,,,,,,,,,,0
both,Scott Spiezio,0.375,0.375,0.375,4,8,,3,1,,,,,,,,,,,,3
right,Jeffrey Hammonds,0.090909091,0.181818182,0.090909091,4,11,,1,1,1,,,,,1,1,,,,,2
right,Eduardo Perez,0,0,0,2,5,,,,,,,,,,,,,,,0
right,Barry Larkin,0.23943662,0.436619718,0.260273973,15,71,10,17,6,3,1,3,,1,,11,2,,,,31
right,Frank Thomas,0.260869565,0.47826087,0.5,12,23,6,6,3,5,,,,3,1,3,11,,,,11
both,Carlos Baerga,0.23255814,0.372093023,0.23255814,11,43,5,10,3,3,,1,,,,6,,,,,16
right,Sammy Sosa,0.384615385,0.784615385,0.402985075,15,65,17,25,17,2,,8,,,1,12,2,3,,,51
