Pitches / Hits,,ERA,Wins,Losses,Saves,AVG against,G,GS,CG,IP,ER,Hits,SO,BB,HB,WP,BK
,Brian Bohanon,4.5,3,1,,0.067961165,4,4,1,32,16,7,25,8,1,,
,Greg Swindell,5.78778135,1,,1,0.222283968,8,,,9.33,6,8,12,7,1,,
,Mike Mussina,4.789550073,1,1,,0.215162638,4,3,,20.67,11,17,21,3,,,
,Mark Langston,13.49325337,,,,0.411643634,3,2,,6.67,10,14,2,11,,,
,Troy Percival,3.6,,1,,0.25,3,,,5,2,5,4,1,,2,
,Dennis Cook,1.285714286,1,1,,0.16,6,,,7,1,4,7,3,1,,
,Chan-ho Park,1.8,2,,,0.184782609,4,3,1,25,5,17,21,8,1,,
,Mariano Rivera,5.065666041,,1,4,0.20010005,6,,,5.33,3,4,,1,,,
,Ramon Martinez,2.871729419,1,,,0.189622479,3,2,,15.67,5,11,8,6,,,
,Kevin Brown,2.273444901,2,1,,0.166652048,4,3,3,31.67,8,19,27,7,1,1,
,Rolando Arrojo,6.882352941,1,2,,0.23880597,5,3,1,17,13,16,10,6,,,
,Stan Belinda,14.21800948,,,,0.441306267,6,,,6.33,10,15,3,2,1,1,
,Sean Runyan,1.688555347,,,,0.157977883,6,,,5.33,1,3,4,1,,,
,Esteban Yan,1.861427094,,,,0.194390447,6,,,9.67,2,7,6,5,,,
,Kent Bottenfield,6,,2,,0.341463415,7,3,,18,12,28,12,4,2,1,
,Paul Assenmacher,0,1,,,0.083263947,5,,,3.67,,1,2,2,,,
,Hideo Nomo,2.512212142,1,,,0.283380563,2,2,1,14.33,4,17,13,8,,1,
,Bobby Witt,7.712082262,,2,,0.313663987,2,2,,11.67,10,16,9,4,2,,
,John Rocker,0,,,,0.200400802,2,,,1.33,,1,3,,,,
,Greg Maddux,3.705882353,1,1,,0.215384615,2,2,2,17,7,14,21,2,,,
,Tom Glavine,2.423076923,2,1,,0.170212766,3,3,3,26,7,16,18,6,,,
,Todd Stottlemyre,3.474903475,2,2,,0.24625028,4,4,2,33.67,13,33,28,10,2,2,
,Scott Erickson,2.52312868,3,1,,0.213219616,4,4,4,35.67,10,29,34,10,,2,
,Mike Sirotka,3.272727273,2,1,,0.24137931,3,3,2,22,8,21,14,2,,,
,Eric Plunk,0,,,1,0,1,,,0.33,,,,,,,
,Buddy Groom,9,,,,0.454545455,2,,,2,2,5,1,3,,,
,Bobby Ayala,0,,,,0.4,1,,,1,,2,1,,,,
,Heathcliff Slocumb,0,,,,0.25,1,,,1,,1,,,,,
,Kenny Rogers,3,3,,,0.235849057,3,3,3,27,9,25,17,5,,,
,Kerry Wood,8.737864078,,1,,0.291727443,2,2,,11.33,11,14,7,11,,1,
,Jeff Tabaka,3.854389722,,,,0.124921924,5,,,4.67,2,2,2,4,,1,
,Bob Scanlan,3.174603175,,1,,0.190385531,4,,,5.67,2,4,3,,,,
,Rick Aguilera,3.377110694,1,,,0.238208671,6,,,5.33,2,5,4,,,,
,Chuck McElroy,2.25,2,,,0,3,,,4,1,,7,,,,
,Dave Burba,10.96532334,,,,0.396151669,2,2,,10.67,13,21,6,3,1,,
,Steve Avery,5.25,,,,0.307692308,2,2,,12,7,16,6,5,,,
,Masato Yoshii,7.8,,2,,0.262295082,1,1,1,15,13,16,8,3,3,,
,Gregg Olson,11.25,,,2,0.333333333,3,,,4,5,6,5,3,,,
,Curt Schilling,3.818181818,1,3,,0.208,4,4,2,33,14,26,32,7,1,,
,Paul Byrd,4.641350211,1,3,,0.288920991,4,4,,21.33,11,26,16,7,,1,
,Mark Leiter,14.21800948,,,3,0.269334359,6,,,6.33,10,7,5,8,,,
,Mark Portugal,11.64705882,1,2,,0.32,3,3,1,17,22,24,8,,,,
,Yorkis Perez,1.125,,,,0.076923077,10,,,8,1,2,6,3,,,
,Jerry Spradlin,0.642857143,,,,0.25,8,,,14,1,14,12,,,,
,Tyler Green,13.5,,3,,0.351351351,3,3,,8,12,13,1,11,1,1,
,Ricky Bottalico,13.48314607,,,,0.272479564,2,,,2.67,4,3,2,3,,,
,Wayne Gomes,8,,,,0.341463415,6,,,9,8,14,5,4,,,
,Carlton Loewer,5.142857143,,1,,0.222222222,1,1,,7,4,6,4,5,,,
,Matt Beech,10.32656664,1,1,,0.433405568,4,2,,11.33,13,26,15,12,1,,
,Darrin Winston,0,,,,0,2,,,1.33,,,2,,,,
,Mike Grace,4.761904762,,,,0.29154519,1,,,5.67,3,7,6,1,,,
,Ken Ryan,0,,,,0,1,,,0.33,,,,,,,
,Tony Saunders,4.319136173,1,2,,0.242387517,3,3,,16.67,8,16,19,2,,1,
,Lance Painter,6.746626687,1,1,,0.333222259,6,,,6.67,5,10,5,2,,,
,Al Osuna,0,,,1,0.086956522,7,,,7,,2,7,4,,,
,Randy Myers,6.754221388,,,,0.20010005,4,,,5.33,4,4,5,2,,,
,Omar Daal,7.837445573,1,,,0.318646303,5,3,,20.67,18,29,22,5,,,
,Tim Belcher,5.312346286,1,2,,0.282386163,3,3,2,20.33,12,24,16,7,1,,
,Bartolo Colon,4.304347826,1,2,,0.206896552,3,3,1,23,11,18,19,8,,,
