"","name","throws","ER_deviation"
"1","Rick Aguilera","Right",-0.51
"2","Rolando Arrojo","Right",6.3
"3","Andy Ashby","Right",8.9
"4","Paul Assenmacher","Left",-1.3
"5","Steve Avery","Left",0.31
"6","Bobby Ayala","Right",-0.81
"7","Rod Beck","Right",1.5
"8","Matt Beech","Left",6.5
"9","Tim Belcher","Right",2.4
"10","Stan Belinda","Right",7.7
"11","Jason Bere","Right",7.2
"12","Brian Bohanon","Left",6.5
"13","Ricky Bottalico","Right",2.1
"14","Kent Bottenfield","Right",3.1
"15","Kevin Brown","Right",-0.37
"16","Dave Burba","Right",8.1
"17","Paul Byrd","Right",4.6
"18","Roger Clemens","Right",5.6
"19","Bartolo Colon","Right",1.5
"20","Dennis Cook","Left",-0.85
"21","Omar Daal","Left",11
"22","Danny Darwin","Right",-0.43
"23","Scott Erickson","Right",-5.9
"24","John Franco","Left",1.1
"25","Tom Glavine","Left",-0.14
"26","Wayne Gomes","Right",3.8
"27","Mike Grace","Right",-0.45
"28","Tyler Green","Right",7.5
"29","Buddy Groom","Left",1.1
"30","Mark Guthrie","Left",0.41
"31","Orel Hershiser","Right",3.7
"32","Jimmy Key","Left",3.5
"33","Darryl Kile","Right",6.8
"34","Steve Kline","Left",2.2
"35","Mark Langston","Left",5.7
"36","Mark Leiter","Right",7.5
"37","Carlton Loewer","Right",-0.74
"38","Greg Maddux","Right",2.8
"39","Matt Mantei","Right",0.48
"40","Pedro Martinez","Right",0.29
"41","Ramon Martinez","Right",0.073
"42","Chuck McElroy","Left",-0.29
"43","Greg McMichael","Right",1.8
"44","Mike Mussina","Right",3
"45","Randy Myers","Left",1.1
"46","Robb Nen","Right",-0.46
"47","Hideo Nomo","Right",-3.8
"48","Gregg Olson","Right",3.7
"49","Jesse Orosco","Left",1.2
"50","Antonio Osuna","Right",-2.4
"51","Lance Painter","Left",2
"52","Chan Ho Park","Right",-5.3
"53","Troy Percival","Right",-0.028
"54","Yorkis Perez","Left",-2.4
"55","Andy Pettitte","Left",-2.9
"56","Marc Pisciotta","Right",1.1
"57","Eric Plunk","Right",-0.16
"58","Mark Portugal","Right",14
"59","Armando Reynoso","Right",4.6
"60","Arthur Rhodes","Left",-1.2
"61","Mariano Rivera","Right",1.9
"62","John Rocker","Left",-0.31
"63","Kenny Rogers","Left",-0.51
"64","Sean Runyan","Left",-1.1
"65","Ken Ryan","Right",-0.16
"66","Tony Saunders","Left",0.37
"67","Bob Scanlan","Right",0.06
"68","Curt Schilling","Right",2.1
"69","Aaron Sele","Right",-1.5
"70","Jeff Shaw","Right",-1.3
"71","Paul Shuey","Right",-1.1
"72","Mike Sirotka","Left",-4.4
"73","Heathcliff Slocumb","Right",-0.59
"74","Jerry Spradlin","Right",-4.5
"75","Todd Stottlemyre","Right",-0.99
"76","Greg Swindell","Left",2.3
"77","Jeff Tabaka","Left",0.43
"78","Tim Wakefield","Right",4.3
"79","Darrin Winston","Left",-0.9
"80","Bobby Witt","Right",1.5
"81","Kerry Wood","Right",6.7
"82","Esteban Yan","Right",-2.1
"83","Masato Yoshii","Right",6.4
