playerID,Name
jeterde01,Derek Jeter
caminke01,Ken Caminiti
jeffegr01,Gregg Jefferies
griffke02,Ken Griffey
mondera01,Raul Mondesi
encarju01,Juan Encarnacion
rodriiv01,Ivan Rodriguez
boonebr01,Bret Boone
offerjo01,Jose Offerman
stairma01,Matt Stairs
ripkeca01,Cal Ripken
zeileto01,Todd Zeile
alicelu01,Luis Alicea
fieldce01,Cecil Fielder
lukema01,Matt Luke
bagweje01,Jeff Bagwell
gantro01,Ron Gant
biggicr01,Craig Biggio
bondsba01,Barry Bonds
aloumo01,Moises Alou
rodrial01,Alex Rodriguez
bonilbo01,Bobby Bonilla
kendaja01,Jason Kendall
tatisfe01,Fernando Tatis
widgech01,Chris Widger
tuckemi01,Michael Tucker
kleskry01,Ryan Klesko
roberbi01,Bip Roberts
clarkwi02,Will Clark
sexsori01,Richie Sexson
cedenro01,Roger Cedeno
sandere02,Reggie Sanders
davisch01,Chili Davis
elsteke01,Kevin Elster
mclemma01,Mark McLemore
walkela01,Larry Walker
jonesch06,Chipper Jones
heltoto01,Todd Helton
edmonji01,Jim Edmonds
nunnajo01,Jon Nunnally
renteed01,Edgar Renteria
casanra01,Raul Casanova
verasqu01,Quilvio Veras
lopezja01,Javy Lopez
justida01,David Justice
greensh01,Shawn Green
giambja01,Jason Giambi
bellira01,Rafael Belliard
zaungr01,Gregg Zaun
abbotku01,Kurt Abbott
lankfra01,Ray Lankford
knoblch01,Chuck Knoblauch
garcino01,Nomar Garciaparra
belleal01,Albert Belle
karroer01,Eric Karros
grissma02,Marquis Grissom
girarjo01,Joe Girardi
venturo01,Robin Ventura
servasc01,Scott Servais
gilkebe01,Bernard Gilkey
gaettga01,Gary Gaetti
camermi01,Mike Cameron
palmera01,Rafael Palmeiro
watkipa01,Pat Watkins
bogarti01,Tim Bogar
glanvdo01,Doug Glanville
mageewe01,Wendell Magee
rolensc01,Scott Rolen
brognri01,Rico Brogna
abreubo01,Bobby Abreu
lewisma01,Mark Lewis
estalbo02,Bobby Estalella
relafde01,Desi Relaford
sefcike01,Kevin Sefcik
jordake01,Kevin Jordan
parenma01,Mark Parent
liebemi01,Mike Lieberthal
ariasal01,Alex Arias
zuberjo01,Jon Zuber
amaroru02,Ruben Amaro
loftoke01,Kenny Lofton
henderi01,Rickey Henderson
mcgwima01,Mark McGwire
burnije01,Jeromy Burnitz
durhara01,Ray Durham
leyriji01,Jim Leyritz
vizquom01,Omar Vizquel
ramirma02,Manny Ramirez
ledesaa01,Aaron Ledesma
castrju01,Juan Castro
steinte01,Terry Steinbach
vinafe01,Fernando Vina
guerrvl01,Vladimir Guerrero
alfoned01,Edgardo Alfonzo
mabryjo01,John Mabry
bushho01,Homer Bush
moranmi01,Mickey Morandini
cirilje01,Jeff Cirillo
spencsh01,Shane Spencer
gonzaju03,Juan Gonzalez
piazzmi01,Mike Piazza
galaran01,Andres Galarraga
jonesan01,Andruw Jones
stockke01,Kevin Stocker
amarari01,Rich Amaral
weisswa01,Walt Weiss
nixonot01,Otis Nixon
coninje01,Jeff Conine
molitpa01,Paul Molitor
princto01,Tom Prince
spiezsc01,Scott Spiezio
hammoje01,Jeffrey Hammonds
perezed01,Eduardo Perez
larkiba01,Barry Larkin
thomafr04,Frank Thomas
baergca01,Carlos Baerga
sosasa01,Sammy Sosa
cansejo01,Jose Canseco
erstada01,Darin Erstad
prattto02,Todd Pratt
frymatr01,Travis Fryman
kentje01,Jeff Kent
knorrra01,Randy Knorr
simmsmi01,Mike Simms
posadjo01,Jorge Posada
lansimi01,Mike Lansing
duceyro01,Rob Ducey
wilsocr02,Craig Wilson
sierrru01,Ruben Sierra
