playerID,name,hits,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_season,award_summary
jeterde01,Derek Jeter,Right,24,NYY,AL,149,694,626,127,203,25,8,19,84,30,6,57,119,0.324,0.384,0.481,0.864,127,301,13,5,3,3,1,*6/H,"AS,MVP-3"
caminke01,Ken Caminiti,Both,35,SDP,NL,131,536,452,87,114,29,0,29,82,6,2,71,108,0.252,0.353,0.509,0.862,132,230,6,4,0,8,4,*5/H,
jeffegr01,Gregg Jefferies,Both,30,TOT,MLB,144,592,555,72,167,28,3,9,58,12,3,29,32,0.301,0.333,0.411,0.744,93,228,19,1,1,6,4,*7/H3,
griffke02,Ken Griffey Jr.,Left,28,SEA,AL,161,720,633,120,180,33,3,56,146,20,5,76,121,0.284,0.365,0.611,0.977,150,387,14,7,0,4,11,*8/D379,"AS,MVP-4,GG,SS"
mondera01,Raul Mondesi,Right,27,LAD,NL,148,617,580,85,162,26,5,30,90,16,10,30,112,0.279,0.316,0.497,0.813,115,288,8,3,0,4,4,*89,
encarju01,Juan Encarnacion,Right,22,DET,AL,40,175,164,30,54,9,4,7,21,7,4,7,31,0.329,0.354,0.561,0.915,134,92,2,1,0,3,0,98/7DH,
rodriiv01,Ivan Rodriguez,Right,26,TEX,AL,145,617,579,88,186,40,4,21,91,9,0,32,88,0.321,0.358,0.513,0.871,120,297,18,3,0,3,4,*2/DH,"AS,MVP-10,GG,SS"
boonebr01,Bret Boone,Right,29,CIN,NL,157,648,583,76,155,38,1,24,95,6,4,48,104,0.266,0.324,0.458,0.782,102,267,23,4,9,4,3,*4/H,"AS,GG"
offerjo01,Jose Offerman,Both,29,KCR,AL,158,709,607,102,191,28,13,7,66,45,12,89,96,0.315,0.403,0.438,0.841,119,266,7,5,2,6,1,*4/DH,
stairma01,Matt Stairs,Left,30,OAK,AL,149,593,523,88,154,33,1,26,106,8,3,59,93,0.294,0.37,0.511,0.88,131,267,13,6,1,4,4,*DH7/39,
ripkeca01,Cal Ripken Jr.,Right,37,BAL,AL,161,659,601,65,163,27,1,14,61,0,2,51,68,0.271,0.331,0.389,0.721,89,234,9,4,1,2,0,*5,AS
zeileto01,Todd Zeile,Right,32,TOT,MLB,158,653,572,85,155,32,3,19,94,4,4,69,90,0.271,0.35,0.437,0.787,108,250,12,4,1,7,2,*5/H3,
alicelu01,Luis Alicea,Both,32,TEX,AL,101,308,259,51,71,15,3,6,33,4,3,37,40,0.274,0.372,0.425,0.796,104,110,1,5,4,3,0,4H5D/7,
fieldce01,Cecil Fielder,Right,34,TOT,AL,117,476,416,49,97,17,1,17,68,0,1,53,111,0.233,0.324,0.401,0.725,86,167,18,4,0,3,1,3D/H,
lukema01,Matt Luke,Left,27,TOT,MLB,104,259,239,34,56,12,1,12,34,2,1,17,60,0.234,0.287,0.444,0.73,93,106,4,1,1,1,2,7H39,
bagweje01,Jeff Bagwell,Right,30,HOU,NL,147,661,540,124,164,33,1,34,111,19,7,109,90,0.304,0.424,0.557,0.981,158,301,14,7,0,5,8,*3/H,
gantro01,Ron Gant,Right,33,STL,NL,121,438,383,60,92,17,1,26,67,8,0,51,92,0.24,0.331,0.493,0.825,114,189,6,2,0,2,2,7H,
biggicr01,Craig Biggio,Right,32,HOU,NL,160,738,646,123,210,51,2,20,88,50,8,64,113,0.325,0.403,0.503,0.906,139,325,10,23,1,4,6,*4/DH,"AS,MVP-5,SS"
bondsba01,Barry Bonds,Left,33,SFG,NL,156,697,552,120,167,44,7,37,122,28,12,130,92,0.303,0.438,0.609,1.047,178,336,15,8,1,6,29,*7/H,"AS,MVP-8,GG"
aloumo01,Moises Alou,Right,31,HOU,NL,159,679,584,104,182,34,5,38,124,11,3,84,87,0.312,0.399,0.582,0.981,157,340,14,5,0,6,11,*7/8HD,"AS,MVP-3,SS"
rodrial01,Alex Rodriguez,Right,22,SEA,AL,161,748,686,123,213,35,5,42,124,46,13,45,121,0.31,0.36,0.56,0.919,136,384,12,10,3,4,0,*6/D,"AS,MVP-9,SS"
bonilbo01,Bobby Bonilla,Both,35,TOT,NL,100,381,333,39,83,11,1,11,45,1,2,41,59,0.249,0.326,0.387,0.714,92,129,16,0,0,6,4,57/H,
kendaja01,Jason Kendall,Right,24,PIT,NL,149,627,535,95,175,36,3,12,75,26,5,51,51,0.327,0.411,0.473,0.884,131,253,6,31,2,8,3,*2/H,AS
tatisfe01,Fernando Tatis,Right,23,TOT,MLB,150,579,532,69,147,33,4,11,58,13,5,36,123,0.276,0.329,0.415,0.744,91,221,16,6,4,1,3,*5/6H,
widgech01,Chris Widger,Right,27,MON,NL,125,448,417,36,97,18,1,15,53,6,1,29,85,0.233,0.281,0.388,0.67,76,162,5,0,0,2,2,*2/H,
tuckemi01,Michael Tucker,Left,27,ATL,NL,130,469,414,54,101,27,3,13,46,8,3,49,112,0.244,0.327,0.418,0.745,95,173,4,3,1,2,10,*9H,
kleskry01,Ryan Klesko,Left,27,ATL,NL,129,491,427,69,117,29,1,18,70,5,3,56,66,0.274,0.359,0.473,0.832,117,202,9,3,0,4,5,*7/3H,
roberbi01,Bip Roberts,Both,34,TOT,AL,95,333,295,45,79,17,0,1,24,16,4,31,38,0.268,0.344,0.336,0.68,81,99,7,4,2,1,0,4DH87/59,
clarkwi02,Will Clark,Left,34,TEX,AL,149,636,554,98,169,41,1,23,102,1,0,72,97,0.305,0.384,0.507,0.891,126,281,15,3,0,7,5,*3D/H,
sexsori01,Richie Sexson,Right,23,CLE,AL,49,183,174,28,54,14,1,11,35,1,1,6,42,0.31,0.344,0.592,0.936,135,103,3,3,0,0,0,3/H7D,
cedenro01,Roger Cedeno,Both,23,LAD,NL,105,271,240,33,58,11,1,2,17,8,2,27,57,0.242,0.317,0.321,0.638,73,77,1,0,3,1,2,7H89,
sandere02,Reggie Sanders,Right,30,CIN,NL,135,545,481,83,129,18,6,14,59,20,9,51,137,0.268,0.346,0.418,0.764,99,201,10,7,4,2,2,*89H,
davisch01,Chili Davis,Both,38,NYY,AL,35,118,103,11,30,7,0,3,9,0,1,14,18,0.291,0.373,0.447,0.819,116,46,6,0,0,1,1,D/H,
elsteke01,Kevin Elster,Right,33,TEX,AL,84,336,297,33,69,10,1,8,37,0,2,33,66,0.232,0.311,0.354,0.665,70,105,7,2,2,2,0,6,
mclemma01,Mark McLemore,Both,33,TEX,AL,126,567,461,79,114,15,1,5,53,12,4,89,64,0.247,0.369,0.317,0.686,79,146,15,2,12,3,1,*4/HD,
walkela01,Larry Walker,Left,31,COL,NL,130,524,454,113,165,46,3,23,67,14,4,64,61,0.363,0.445,0.63,1.075,158,286,11,4,0,2,2,*9/H845D,"AS,MVP-17,GG"
jonesch06,Chipper Jones,Both,26,ATL,NL,160,707,601,123,188,29,5,34,107,16,6,96,93,0.313,0.404,0.547,0.951,148,329,17,1,1,8,1,*5/H,"AS,MVP-9"
heltoto01,Todd Helton,Left,24,COL,NL,152,595,530,78,167,37,1,25,97,3,3,53,54,0.315,0.38,0.53,0.911,119,281,15,6,1,5,5,*3H,RoY-2
edmonji01,Jim Edmonds,Left,28,ANA,AL,154,659,599,115,184,42,1,25,91,7,5,57,114,0.307,0.368,0.506,0.874,123,303,16,1,1,1,7,*8/H,GG
nunnajo01,Jon Nunnally,Left,26,CIN,NL,74,213,174,29,36,9,0,7,20,3,4,34,38,0.207,0.335,0.379,0.714,86,66,4,1,1,3,3,98H/7,
renteed01,Edgar Renteria,Right,21,FLA,NL,133,580,517,79,146,18,2,3,31,41,22,48,78,0.282,0.347,0.342,0.689,88,177,13,4,9,2,1,*6/H,AS
casanra01,Raul Casanova,Both,25,DET,AL,16,48,42,4,6,2,0,1,3,0,0,5,10,0.143,0.25,0.262,0.512,34,11,0,1,0,0,0,2/H,
verasqu01,Quilvio Veras,Both,27,SDP,NL,138,612,517,79,138,24,2,6,45,24,9,84,78,0.267,0.373,0.356,0.729,101,184,6,6,1,4,2,*4/H,
lopezja01,Javy Lopez,Right,27,ATL,NL,133,534,489,73,139,21,1,34,106,5,3,30,85,0.284,0.328,0.54,0.868,124,264,22,6,1,8,1,*2/HD,"AS,MVP-24"
justida01,David Justice,Left,32,CLE,AL,146,625,540,94,151,39,2,21,88,9,3,76,98,0.28,0.363,0.476,0.839,114,257,9,0,0,9,7,*D7H/9,
greensh01,Shawn Green,Left,25,TOR,AL,158,689,630,106,175,33,4,35,100,35,12,50,142,0.278,0.334,0.51,0.844,117,321,6,5,1,3,2,*98/H,
giambja01,Jason Giambi,Left,27,OAK,AL,153,657,562,92,166,28,0,27,110,2,2,81,102,0.295,0.384,0.489,0.873,130,275,16,5,0,9,7,*3/D,
bellira01,Rafael Belliard,Right,36,ATL,NL,7,20,20,1,5,0,0,0,1,0,0,0,1,0.25,0.25,0.25,0.5,33,5,2,0,0,0,0,/6,
zaungr01,Gregg Zaun,Both,27,FLA,NL,106,338,298,19,56,12,2,5,29,5,2,35,52,0.188,0.274,0.292,0.566,53,87,7,1,2,2,2,2H/4,
abbotku01,Kurt Abbott,Right,29,TOT,MLB,77,212,194,26,51,13,1,5,24,2,1,12,53,0.263,0.308,0.418,0.726,84,81,5,2,1,3,0,6H/7495D,
lankfra01,Ray Lankford,Left,31,STL,NL,154,626,533,94,156,37,1,31,105,26,5,86,151,0.293,0.391,0.54,0.932,143,288,4,3,0,4,5,*8H/D,
knoblch01,Chuck Knoblauch,Right,29,NYY,AL,150,706,603,117,160,25,4,17,64,31,12,76,70,0.265,0.361,0.405,0.765,102,244,13,18,2,7,1,*4/D,
garcino01,Nomar Garciaparra,Right,24,BOS,AL,143,652,604,111,195,37,8,35,122,12,6,33,62,0.323,0.362,0.584,0.946,140,353,20,8,0,7,1,*6,MVP-2
belleal01,Albert Belle,Right,31,CHW,AL,163,706,609,113,200,48,2,49,152,6,4,81,84,0.328,0.399,0.655,1.055,172,399,17,1,0,15,10,*7/D,"MVP-8,SS"
karroer01,Eric Karros,Right,30,LAD,NL,139,564,507,59,150,20,1,23,87,7,2,47,93,0.296,0.355,0.475,0.83,121,241,7,3,0,7,1,*3/DH,
grissma02,Marquis Grissom,Right,31,MIL,NL,142,572,542,57,147,28,1,10,60,13,8,24,78,0.271,0.304,0.382,0.685,79,207,12,2,2,2,2,*8/H,
girarjo01,Joe Girardi,Right,33,NYY,AL,78,279,254,31,70,11,4,3,31,2,4,14,38,0.276,0.317,0.386,0.703,85,98,10,2,8,1,1,2,
venturo01,Robin Ventura,Left,30,CHW,AL,161,674,590,84,155,31,4,21,91,1,1,79,111,0.263,0.349,0.436,0.785,106,257,10,1,1,3,15,*5,GG
servasc01,Scott Servais,Right,31,CHC,NL,113,360,325,35,72,15,1,7,36,1,0,26,51,0.222,0.289,0.338,0.627,63,110,12,5,3,1,6,*2H/3,
gilkebe01,Bernard Gilkey,Right,31,TOT,NL,111,419,365,41,85,15,0,5,33,9,3,43,80,0.233,0.32,0.315,0.635,69,115,11,5,3,3,1,7H/98,
gaettga01,Gary Gaetti,Right,39,TOT,NL,128,492,434,60,122,34,1,19,70,1,1,43,62,0.281,0.356,0.495,0.852,121,215,12,10,1,4,2,*5H/3419,
camermi01,Mike Cameron,Right,25,CHW,AL,141,443,396,53,83,16,5,8,43,27,11,37,101,0.21,0.285,0.336,0.621,64,133,6,6,1,3,0,*8/H9,
palmera01,Rafael Palmeiro,Left,33,BAL,AL,162,709,619,98,183,36,1,43,121,11,7,79,91,0.296,0.379,0.565,0.945,144,350,14,7,0,4,8,*3/DH,"AS,MVP-18,GG,SS"
watkipa01,Pat Watkins,Right,25,CIN,NL,83,162,147,11,39,8,1,2,15,1,3,8,26,0.265,0.3,0.374,0.674,75,55,3,1,2,4,0,89H7,
bogarti01,Tim Bogar,Right,31,HOU,NL,79,169,156,12,24,4,1,1,8,2,1,9,36,0.154,0.208,0.212,0.42,12,33,5,2,1,1,2,645H/D,
glanvdo01,Doug Glanville,Right,27,PHI,NL,158,735,678,106,189,28,7,8,49,23,6,42,89,0.279,0.325,0.376,0.701,83,255,7,6,5,4,1,*8/H,
mageewe01,Wendell Magee,Right,25,PHI,NL,20,82,75,9,22,6,1,1,11,0,0,7,11,0.293,0.354,0.44,0.794,106,33,4,0,0,0,0,7/H,
rolensc01,Scott Rolen,Right,23,PHI,NL,160,711,601,120,174,45,4,31,110,14,7,93,141,0.29,0.391,0.532,0.923,139,320,10,11,0,6,6,*5/H,"MVP-20,GG"
brognri01,Rico Brogna,Left,28,PHI,NL,153,624,565,77,150,36,3,20,104,7,7,49,125,0.265,0.319,0.446,0.765,97,252,12,0,0,10,8,*3/H,
abreubo01,Bobby Abreu,Left,24,PHI,NL,151,589,497,68,155,29,6,17,74,19,10,84,133,0.312,0.409,0.497,0.906,136,247,6,0,4,4,14,*9H,
lewisma01,Mark Lewis,Right,28,PHI,NL,142,580,518,52,129,21,2,9,54,3,3,48,111,0.249,0.312,0.349,0.661,73,181,17,3,3,8,2,*4/H,
estalbo02,Bobby Estalella,Right,23,PHI,NL,47,182,165,16,31,6,1,8,20,0,0,13,49,0.188,0.247,0.382,0.629,61,63,4,1,0,3,0,2,
relafde01,Desi Relaford,Both,24,PHI,NL,142,546,494,45,121,25,3,5,41,9,5,33,87,0.245,0.293,0.338,0.631,65,167,9,3,10,6,4,*6/H,
sefcike01,Kevin Sefcik,Right,27,PHI,NL,104,205,169,27,53,7,2,3,20,4,2,25,32,0.314,0.421,0.432,0.853,124,73,3,7,3,1,0,H79/854D,
jordake01,Kevin Jordan,Right,28,PHI,NL,112,261,250,23,69,13,0,2,27,0,0,8,30,0.276,0.303,0.352,0.655,71,88,5,2,0,1,1,H34/D5,
parenma01,Mark Parent,Right,36,PHI,NL,34,126,113,7,25,4,0,1,13,1,1,10,30,0.221,0.278,0.283,0.561,47,32,1,0,0,3,0,2,
liebemi01,Mike Lieberthal,Right,26,PHI,NL,86,342,313,39,80,15,3,8,45,2,1,17,44,0.256,0.304,0.399,0.703,82,125,4,7,0,5,1,2/H,
ariasal01,Alex Arias,Right,30,PHI,NL,56,149,133,17,39,8,0,1,16,2,0,13,18,0.293,0.358,0.376,0.734,92,50,1,1,1,1,3,6H/54,
zuberjo01,Jon Zuber,Left,28,PHI,NL,38,52,45,6,11,3,1,2,6,0,0,6,9,0.244,0.346,0.489,0.835,115,22,1,1,0,0,0,H/73,
amaroru02,Ruben Amaro,Both,33,PHI,NL,92,117,107,7,20,5,0,1,10,0,0,6,15,0.187,0.224,0.262,0.486,27,28,1,0,1,3,0,H7/98,
loftoke01,Kenny Lofton,Left,31,CLE,AL,154,698,600,101,169,31,6,12,64,54,10,87,80,0.282,0.371,0.413,0.785,102,248,7,2,3,6,1,*8,AS
henderi01,Rickey Henderson,Right,39,OAK,AL,152,670,542,101,128,16,1,14,57,66,13,118,114,0.236,0.376,0.347,0.723,94,188,5,5,2,3,0,*78/H,
mcgwima01,Mark McGwire,Right,34,STL,NL,155,681,509,130,152,21,0,70,147,1,0,162,155,0.299,0.47,0.752,1.222,216,383,8,6,0,4,28,*3/H,"AS,MVP-2,SS"
burnije01,Jeromy Burnitz,Left,29,MIL,NL,161,691,609,92,160,28,1,38,125,7,4,70,158,0.263,0.339,0.499,0.838,118,304,9,4,1,7,7,*9/H8,MVP-19
durhara01,Ray Durham,Both,26,CHW,AL,158,723,635,126,181,35,8,19,67,36,9,73,105,0.285,0.363,0.455,0.818,115,289,5,6,6,3,3,*4/H,AS
leyriji01,Jim Leyritz,Right,34,TOT,MLB,114,328,272,34,75,16,0,12,42,0,0,42,74,0.276,0.384,0.467,0.851,125,127,6,9,0,5,1,HD23/57,
vizquom01,Omar Vizquel,Both,31,CLE,AL,151,660,576,86,166,30,6,2,50,37,12,62,64,0.288,0.358,0.372,0.73,89,214,10,4,12,6,1,*6,"AS,GG"
ramirma02,Manny Ramirez,Right,26,CLE,AL,150,663,571,108,168,35,2,45,145,5,3,76,121,0.294,0.377,0.599,0.976,146,342,18,6,0,10,6,*9/D,"AS,MVP-6"
ledesaa01,Aaron Ledesma,Right,27,TBD,AL,95,315,299,30,97,16,3,0,29,9,7,9,51,0.324,0.344,0.398,0.742,92,119,8,1,4,2,1,64H/5D3,
castrju01,Juan Castro,Right,26,LAD,NL,89,246,220,25,43,7,0,2,14,0,0,15,37,0.195,0.245,0.255,0.499,35,56,5,0,9,2,0,645H,
steinte01,Terry Steinbach,Right,36,MIN,AL,124,465,422,45,102,25,2,14,54,0,1,38,89,0.242,0.31,0.41,0.72,85,173,16,4,0,1,0,*2/HD,
vinafe01,Fernando Vina,Left,29,MIL,NL,159,722,637,101,198,39,7,7,45,22,16,54,46,0.311,0.386,0.427,0.813,114,272,7,25,5,1,2,*4/H,AS
guerrvl01,Vladimir Guerrero,Right,23,MON,NL,159,677,623,108,202,37,7,38,109,11,9,42,95,0.324,0.371,0.589,0.96,150,367,15,7,0,5,13,*9/H,MVP-13
alfoned01,Edgardo Alfonzo,Right,24,NYM,NL,144,630,557,94,155,28,2,17,78,8,3,65,77,0.278,0.355,0.427,0.782,106,238,11,3,2,3,1,*5/H6,
mabryjo01,John Mabry,Left,27,STL,NL,142,413,377,41,94,22,0,9,46,0,2,30,76,0.249,0.305,0.379,0.684,79,143,6,1,3,2,6,759H3,
bushho01,Homer Bush,Right,25,NYY,AL,45,78,71,17,27,3,0,1,5,6,3,5,19,0.38,0.421,0.465,0.886,134,33,1,0,2,0,0,4HD/56,
moranmi01,Mickey Morandini,Left,32,CHC,NL,154,669,582,93,172,20,4,8,53,13,1,72,84,0.296,0.38,0.385,0.765,100,224,14,9,4,2,4,*4/H,MVP-24
cirilje01,Jeff Cirillo,Right,28,MIL,NL,156,694,604,97,194,31,1,14,68,10,4,79,88,0.321,0.402,0.445,0.847,123,269,26,4,5,2,3,*5/3H,
spencsh01,Shane Spencer,Right,26,NYY,AL,27,73,67,18,25,6,0,10,27,0,1,5,12,0.373,0.411,0.91,1.321,236,61,0,0,0,1,0,9/7HD3,
gonzaju03,Juan Gonzalez,Right,28,TEX,AL,154,669,606,110,193,50,2,45,157,2,1,46,126,0.318,0.366,0.63,0.997,149,382,20,6,0,11,9,*9D/H,"AS,MVP-1,SS"
piazzmi01,Mike Piazza,Right,29,TOT,NL,151,626,561,88,184,38,1,32,111,1,0,58,80,0.328,0.39,0.57,0.96,152,320,15,2,0,5,14,*2/HD,"AS,MVP-14,SS"
galaran01,Andres Galarraga,Right,37,ATL,NL,153,648,555,103,169,27,1,44,121,7,6,63,146,0.305,0.397,0.595,0.991,157,330,8,25,0,5,11,*3/DH,"AS,MVP-6"
jonesan01,Andruw Jones,Right,21,ATL,NL,159,631,582,89,158,33,8,31,90,27,4,40,129,0.271,0.321,0.515,0.836,116,300,10,4,1,4,8,*8/H,GG
stockke01,Kevin Stocker,Both,28,TBD,AL,112,381,336,37,70,11,3,6,25,5,3,27,80,0.208,0.282,0.313,0.594,54,105,7,8,8,2,1,*6/H,
amarari01,Rich Amaral,Right,36,SEA,AL,73,149,134,25,37,6,0,1,4,11,1,13,24,0.276,0.342,0.343,0.686,81,46,1,1,0,1,0,7H4/93D85,
weisswa01,Walt Weiss,Both,34,ATL,NL,96,424,347,64,97,18,2,0,27,7,1,59,53,0.28,0.386,0.343,0.729,94,119,4,3,12,3,0,6,AS
nixonot01,Otis Nixon,Both,39,MIN,AL,110,500,448,71,133,6,6,1,20,37,7,44,56,0.297,0.361,0.344,0.705,85,154,14,2,4,2,0,8/H,
coninje01,Jeff Conine,Right,32,KCR,AL,93,343,309,30,79,26,0,8,43,3,0,26,68,0.256,0.312,0.417,0.729,87,129,8,2,0,6,1,793/HD,
molitpa01,Paul Molitor,Right,41,MIN,AL,126,559,502,75,141,29,5,4,69,9,2,45,41,0.281,0.335,0.382,0.718,86,192,19,1,1,10,5,*D/3H,
princto01,Tom Prince,Right,33,LAD,NL,37,92,81,7,15,5,1,0,5,0,0,7,24,0.185,0.267,0.272,0.538,46,22,0,2,2,0,1,2/H,
spiezsc01,Scott Spiezio,Both,25,OAK,AL,114,461,406,54,105,19,1,9,50,1,3,44,56,0.259,0.333,0.377,0.709,88,153,10,2,7,2,3,*4/HD,
hammoje01,Jeffrey Hammonds,Right,27,TOT,MLB,89,306,257,50,72,16,2,6,39,8,3,39,56,0.28,0.376,0.428,0.804,111,110,2,3,3,4,1,89H/D7,
perezed01,Eduardo Perez,Right,28,CIN,NL,84,198,172,20,41,4,0,4,30,0,1,21,45,0.238,0.325,0.331,0.656,72,57,2,2,1,2,2,3H/57,
larkiba01,Barry Larkin,Right,34,CIN,NL,145,626,538,93,166,34,10,17,72,26,3,79,69,0.309,0.397,0.504,0.901,134,271,12,2,4,3,5,*6/H,SS
thomafr04,Frank Thomas,Right,30,CHW,AL,160,712,585,109,155,35,2,29,109,7,0,110,93,0.265,0.381,0.48,0.861,126,281,14,6,0,11,2,*D3,
baergca01,Carlos Baerga,Both,29,NYM,NL,147,551,511,46,136,27,1,7,53,0,1,24,55,0.266,0.303,0.364,0.667,76,186,21,6,3,7,6,*4/H,
sosasa01,Sammy Sosa,Right,29,CHC,NL,159,722,643,134,198,20,0,66,158,18,9,73,171,0.308,0.377,0.647,1.024,160,416,20,1,0,5,14,*9/8,"AS,MVP-1,SS"
cansejo01,Jose Canseco,Right,33,TOR,AL,151,658,583,98,138,26,0,46,107,29,17,65,159,0.237,0.318,0.518,0.836,114,302,7,6,0,4,5,D79,SS
