playerID,name,throws,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,award_summary
bohanbr01,Brian Bohanon,Left,29,TOT,NL,7,11,0.389,2.67,39,18,4,2,0,0,151.2,121,56,45,13,57,2,111,11,0,3,626,154,4.13,1.174,7.2,0.8,3.4,6.6,1.95,
swindgr01,Greg Swindell,Left,33,TOT,AL,5,6,0.455,3.59,81,0,15,0,0,2,90.1,92,40,36,13,31,3,63,3,0,3,385,133,4.74,1.362,9.2,1.3,3.1,6.3,2.03,
mussimi01,Mike Mussina,Right,29,BAL,AL,13,10,0.565,3.49,29,29,0,4,2,0,206.1,189,85,80,22,41,3,175,4,0,10,835,130,3.48,1.115,8.2,1,1.8,7.6,4.27,GG
langsma01,Mark Langston,Left,37,SDP,NL,4,6,0.4,5.86,22,16,0,0,0,0,81.1,107,55,53,11,41,1,56,1,1,3,380,67,5.07,1.82,11.8,1.2,4.5,6.2,1.37,
percitr01,Troy Percival,Right,28,ANA,AL,2,7,0.222,3.65,67,0,60,0,0,42,66.2,45,31,27,5,37,4,87,3,0,3,287,131,3.3,1.23,6.1,0.7,5,11.7,2.35,AS
cookde01,Dennis Cook,Left,35,NYM,NL,8,4,0.667,2.38,73,0,18,0,0,1,68,60,21,18,5,27,4,79,3,1,1,286,177,3.09,1.279,7.9,0.7,3.6,10.5,2.93,
parkch01,Chan Ho Park,Right,25,LAD,NL,15,9,0.625,3.71,34,34,0,2,0,0,220.2,199,101,91,16,97,1,191,11,2,6,946,109,3.82,1.341,8.1,0.7,4,7.8,1.97,
riverma01,Mariano Rivera,Right,28,NYY,AL,3,0,1,1.91,54,0,49,0,0,36,61.1,48,13,13,3,17,1,36,1,0,0,246,233,3.48,1.06,7,0.4,2.5,5.3,2.12,
martira02,Ramón Martínez,Right,30,LAD,NL,7,3,0.7,2.83,15,15,0,1,0,0,101.2,76,41,32,8,41,1,91,3,0,2,418,143,3.67,1.151,6.7,0.7,3.6,8.1,2.22,
brownke01,Kevin Brown,Right,33,SDP,NL,18,7,0.72,2.38,36,35,0,7,3,0,257,225,77,68,8,49,4,257,10,0,10,1032,164,2.23,1.066,7.9,0.3,1.7,9,5.24,"AS,CYA-3,MVP-16"
arrojro01,Rolando Arrojo,Right,32,TBD,AL,14,12,0.538,3.56,32,32,0,2,2,0,202,195,84,80,21,65,2,152,19,1,3,853,133,4.23,1.287,8.7,0.9,2.9,6.8,2.34,"AS,RoY-2"
belinst01,Stan Belinda,Right,31,CIN,NL,4,8,0.333,3.23,40,0,24,0,0,1,61.1,46,23,22,7,28,6,57,1,0,3,254,135,4.18,1.207,6.8,1,4.1,8.4,2.04,
runyase01,Sean Runyan,Left,24,DET,AL,1,4,0.2,3.58,88,0,11,0,0,1,50.1,47,23,20,7,28,3,39,2,0,5,223,132,5.19,1.49,8.4,1.3,5,7,1.39,
yanes01,Esteban Yan,Right,23,TBD,AL,5,4,0.556,3.86,64,0,18,0,0,1,88.2,78,41,38,11,41,2,77,5,0,6,381,124,4.57,1.342,7.9,1.1,4.2,7.8,1.88,
botteke01,Kent Bottenfield,Right,29,STL,NL,4,6,0.4,4.44,44,17,11,0,0,4,133.2,128,72,66,13,57,3,98,4,2,3,578,96,4.31,1.384,8.6,0.9,3.8,6.6,1.72,
assenpa01,Paul Assenmacher,Left,37,CLE,AL,2,5,0.286,3.26,69,0,17,0,0,3,47,54,22,17,5,19,6,43,1,0,0,213,147,3.97,1.553,10.3,1,3.6,8.2,2.26,
nomohi01,Hideo Nomo,Right,29,TOT,NL,6,12,0.333,4.92,29,28,0,3,0,0,157.1,130,88,86,19,94,2,167,4,4,13,687,84,4.45,1.424,7.4,1.1,5.4,9.6,1.78,
wittbo01,Bobby Witt,Right,34,TOT,MLB,7,9,0.438,6.56,31,18,8,0,0,0,116.2,150,94,85,21,53,2,58,2,2,3,546,70,5.9,1.74,11.6,1.6,4.1,4.5,1.09,
rockejo01,John Rocker,Left,23,ATL,NL,1,3,0.25,2.13,47,0,16,0,0,2,38,22,10,9,4,22,4,42,3,0,6,156,197,4.27,1.158,5.2,0.9,5.2,9.9,1.91,
maddugr01,Greg Maddux,Right,32,ATL,NL,18,9,0.667,2.22,34,34,0,9,5,0,251,201,75,62,13,45,10,204,7,0,4,987,187,2.81,0.98,7.2,0.5,1.6,7.3,4.53,"AS,CYA-4,GG"
glavito02,Tom Glavine,Left,32,ATL,NL,20,6,0.769,2.47,33,33,0,4,3,0,229.1,202,67,63,13,74,2,157,2,0,3,934,168,3.5,1.203,7.9,0.5,2.9,6.2,2.12,"AS,CYA-1,MVP-21,SS"
stottto01,Todd Stottlemyre,Right,33,TOT,MLB,14,13,0.519,3.74,33,33,0,3,0,0,221.2,214,107,92,25,81,1,204,4,2,5,949,118,3.91,1.331,8.7,1,3.3,8.3,2.52,
ericksc01,Scott Erickson,Right,30,BAL,AL,16,13,0.552,4.01,36,36,0,11,2,0,251.1,284,125,112,23,69,4,186,13,0,4,1102,113,3.83,1.405,10.2,0.8,2.5,6.7,2.7,
sirotmi01,Mike Sirotka,Left,27,CHW,AL,14,15,0.483,5.06,33,33,0,5,0,0,211.2,255,137,119,30,47,0,128,2,1,3,911,90,4.47,1.427,10.8,1.3,2,5.4,2.72,
plunker01,Eric Plunk,Right,34,TOT,MLB,4,3,0.571,4.33,63,0,13,0,0,1,72.2,77,37,35,9,30,2,74,5,0,1,321,106,4.16,1.472,9.5,1.1,3.7,9.2,2.47,
groombu01,Buddy Groom,Left,32,OAK,AL,3,1,0.75,4.24,75,0,13,0,0,0,57.1,62,30,27,4,20,1,36,1,0,1,251,107,3.89,1.43,9.7,0.6,3.1,5.7,1.8,
ayalabo01,Bobby Ayala,Right,28,SEA,AL,1,10,0.091,7.29,62,0,36,0,0,8,75.1,100,66,61,9,26,4,68,1,0,4,351,63,3.96,1.673,11.9,1.1,3.1,8.1,2.62,
slocuhe01,Heathcliff Slocumb,Right,32,SEA,AL,2,5,0.286,5.32,57,0,29,0,0,3,67.2,72,40,40,5,44,1,51,1,0,10,313,86,4.59,1.714,9.6,0.7,5.9,6.8,1.16,
rogerke01,Kenny Rogers,Left,33,OAK,AL,16,8,0.667,3.17,34,34,0,7,1,0,238.2,215,96,84,19,67,0,138,7,2,5,970,143,3.95,1.182,8.1,0.7,2.5,5.2,2.06,
woodke02,Kerry Wood,Right,21,CHC,NL,13,6,0.684,3.4,26,26,0,1,1,0,166.2,117,69,63,14,85,1,233,11,3,6,699,129,3.16,1.212,6.3,0.8,4.6,12.6,2.74,RoY-1
tabakje01,Jeff Tabaka,Left,34,PIT,NL,2,2,0.5,3.02,37,0,9,0,0,0,50.2,37,19,17,6,22,4,40,5,0,1,212,146,4.7,1.164,6.6,1.1,3.9,7.1,1.82,
scanlbo01,Bob Scanlan,Right,31,HOU,NL,0,1,0,3.08,27,0,9,0,0,0,26.1,24,12,9,4,13,0,9,1,0,5,118,136,6.03,1.405,8.2,1.4,4.4,3.1,0.69,
aguilri01,Rick Aguilera,Right,36,MIN,AL,4,9,0.308,4.24,68,0,64,0,0,38,74.1,75,35,35,8,15,1,57,1,0,1,307,113,3.65,1.211,9.1,1,1.8,6.9,3.8,
mcelrch01,Chuck McElroy,Left,30,COL,NL,6,4,0.6,2.9,78,0,27,0,0,2,68.1,68,23,22,3,24,0,61,0,0,0,281,179,2.98,1.346,9,0.4,3.2,8,2.54,
burbada01,Dave Burba,Right,31,CLE,AL,15,10,0.6,4.11,32,31,0,0,0,0,203.2,210,100,93,30,69,4,132,7,0,6,870,116,4.88,1.37,9.3,1.3,3,5.8,1.91,
averyst01,Steve Avery,Left,28,BOS,AL,10,7,0.588,5.02,34,23,4,0,0,0,123.2,128,74,69,14,64,0,57,4,0,7,546,94,5.34,1.553,9.3,1,4.7,4.1,0.89,
yoshima01,Masato Yoshii,Right,33,NYM,NL,6,8,0.429,3.93,29,29,0,1,0,0,171.2,166,79,75,22,53,5,117,6,1,5,724,107,4.47,1.276,8.7,1.2,2.8,6.1,2.21,
olsongr01,Gregg Olson,Right,31,ARI,NL,3,4,0.429,3.01,64,0,49,0,0,30,68.2,56,25,23,4,25,1,55,1,0,2,281,140,3.43,1.18,7.3,0.5,3.3,7.2,2.2,
schilcu01,Curt Schilling,Right,31,PHI,NL,15,14,0.517,3.25,35,35,0,15,2,0,268.2,236,101,97,23,61,3,300,6,0,12,1089,134,2.77,1.105,7.9,0.8,2,10,4.92,AS
byrdpa01,Paul Byrd,Right,27,TOT,NL,5,2,0.714,2.68,9,8,0,2,1,0,57,45,19,17,6,18,1,39,0,0,2,233,164,4.09,1.105,7.1,0.9,2.8,6.2,2.17,
leitema01,Mark Leiter,Right,35,PHI,NL,7,5,0.583,3.55,69,0,50,0,0,23,88.2,67,36,35,8,47,5,84,8,0,5,378,123,4.28,1.286,6.8,0.8,4.8,8.5,1.79,
portuma01,Mark Portugal,Right,35,PHI,NL,10,5,0.667,4.44,26,26,0,3,0,0,166.1,186,88,82,26,32,2,104,4,0,4,704,99,4.57,1.311,10.1,1.4,1.7,5.6,3.25,
perezyo01,Yorkis Pérez,Left,30,PHI,NL,0,2,0,3.81,57,0,7,0,0,0,52,40,23,22,3,25,0,42,0,0,7,221,115,3.72,1.25,6.9,0.5,4.3,7.3,1.68,
