playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB
abbotku01,Kurt Abbott,Right,0.26288659793814434,0.4175257731958763,0.3125,77,194,26,51,24,13,1,5,4,2,1,53,12,2,81
abreubo01,Bobby Abreu,Left,0.3118712273641851,0.4969818913480885,0.4113597246127367,151,497,68,155,74,29,6,17,8,19,10,133,84,0,247
aguilri01,Rick Aguilera,Right,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfoned01,Edgardo Alfonzo,Right,0.27827648114901254,0.4272890484739677,0.3568,144,557,94,155,78,28,2,17,5,8,3,77,65,3,238
alicelu01,Luis Alicea,Both,0.27413127413127414,0.4247104247104247,0.3754152823920266,101,259,51,71,33,15,3,6,7,4,3,40,37,5,110
aloumo01,Moises Alou,Right,0.3116438356164384,0.5821917808219178,0.4026745913818722,159,584,104,182,124,34,5,38,6,11,3,87,84,5,340
amarari01,Rich Amaral,Right,0.27611940298507465,0.34328358208955223,0.34459459459459457,73,134,25,37,4,6,0,1,1,11,1,24,13,1,46
amaroru02,Ruben Amaro,Both,0.18691588785046728,0.2616822429906542,0.23008849557522124,92,107,7,20,10,5,0,1,4,0,0,15,6,0,28
ariasal01,Alex Arias,Right,0.2932330827067669,0.37593984962406013,0.36054421768707484,56,133,17,39,16,8,0,1,2,2,0,18,13,1,50
arrojro01,Rolando Arrojo,Right,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0
ashbyan01,Andy Ashby,Right,0.1111111111111111,0.1388888888888889,0.13513513513513514,32,72,1,8,2,2,0,0,9,0,0,35,2,0,10
assenpa01,Paul Assenmacher,Left,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
averyst01,Steve Avery,Left,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ayalabo01,Bobby Ayala,Right,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baergca01,Carlos Baerga,Both,0.26614481409001955,0.3639921722113503,0.3068391866913124,147,511,46,136,53,27,1,7,10,0,1,55,24,6,186
