playerID,name,throws,ERA,W,L,SV,AVG_against,G,GS,CG,IP,ER,H,SO,BB,HBP,WP,BK
aguilri01,Rick Aguilera,Right,4.24,4,9,38,0.25227043390514636,68,0,0,74.1,35,75,57,15,1,1,0
arrojro01,Rolando Arrojo,Right,3.56,14,12,0,0.24344569288389514,32,32,2,202,80,195,152,65,19,3,1
ashbyan01,Andy Ashby,Right,3.34,17,9,0,0.24733806566104705,33,33,5,226.2,84,223,151,58,7,7,0
assenpa01,Paul Assenmacher,Left,3.26,2,5,3,0.27692307692307694,69,0,0,47,17,54,43,19,1,0,0
averyst01,Steve Avery,Left,5.02,10,7,0,0.2572347266881029,34,23,0,123.2,69,128,57,64,4,7,0
ayalabo01,Bobby Ayala,Right,7.29,1,10,8,0.30740854595757766,62,0,0,75.1,61,100,68,26,1,4,0
beckro01,Rod Beck,Right,3.02,3,4,51,0.263561140055164,81,0,0,80.1,27,86,81,20,2,2,0
beechma01,Matt Beech,Left,5.15,3,9,0,0.2641509433962264,21,21,0,117,67,126,113,63,4,8,0
belchti01,Tim Belcher,Right,4.27,14,14,0,0.2602739726027397,34,34,2,234,111,247,130,73,7,6,1
belinst01,Stan Belinda,Right,3.23,4,8,1,0.2006105538595726,40,0,0,61.1,22,46,57,28,1,3,0
bereja01,Jason Bere,Right,5.65,6,9,0,0.2643256801080456,27,22,0,127.1,80,137,84,78,3,8,0
bohanbr01,Brian Bohanon,Left,2.67,7,11,0,0.21058127392969025,39,18,2,151.2,45,121,111,57,11,3,0
bottari01,Ricky Bottalico,Right,6.44,1,5,6,0.2945990180032733,39,0,0,43.1,31,54,27,25,1,2,0
botteke01,Kent Bottenfield,Right,4.44,4,6,4,0.2426080363912055,44,17,0,133.2,66,128,98,57,4,3,2
brownke01,Kevin Brown,Right,2.38,18,7,0,0.22590361445783133,36,35,7,257,68,225,257,49,10,10,0
burbada01,Dave Burba,Right,4.11,15,10,0,0.25622254758418744,32,31,0,203.2,93,210,132,69,7,6,0
byrdpa01,Paul Byrd,Right,2.68,5,2,0,0.20833333333333334,9,8,2,57,17,45,39,18,0,2,0
clemero02,Roger Clemens,Right,2.65,20,6,0,0.19389628269848555,33,33,5,234.2,69,169,271,88,7,6,0
colonba01,Bartolo Colon,Right,3.71,14,9,0,0.25091799265605874,31,31,6,204,84,205,158,79,3,4,0
cookde01,Dennis Cook,Left,2.38,8,4,1,0.22727272727272727,73,0,0,68,18,60,79,27,3,1,1
daalom01,Omar Daal,Left,2.88,8,12,0,0.23079355042681002,33,23,3,162.2,52,146,132,51,3,0,1
darwida01,Danny Darwin,Right,5.51,8,10,0,0.2835965194972608,33,25,0,148.2,91,176,81,49,3,4,0
ericksc01,Scott Erickson,Right,4.01,16,13,0,0.27378771811433533,36,36,11,251.1,112,284,186,69,13,4,0
francjo01,John Franco,Left,3.62,0,8,38,0.25522041763341063,61,0,0,64.2,26,66,59,29,4,2,0
glavito02,Tom Glavine,Left,2.47,20,6,0,0.2271449454627235,33,33,4,229.1,63,202,157,74,2,3,0
gomeswa01,Wayne Gomes,Right,4.24,9,6,1,0.25180819716046077,71,0,0,93.1,44,94,86,35,3,6,0
gracemi02,Mike Grace,Right,5.48,4,7,0,0.3002847527828113,21,15,0,90.1,55,116,46,30,8,1,1
greenty01,Tyler Green,Right,5.03,6,12,0,0.22929113515259164,27,27,0,159.1,89,142,113,85,9,8,0
groombu01,Buddy Groom,Left,4.24,3,1,0,0.2657522503214745,75,0,0,57.1,27,62,36,20,1,1,0
guthrma01,Mark Guthrie,Left,3.5,2,1,0,0.25688073394495414,53,0,0,54,21,56,45,24,2,2,0
hershor01,Orel Hershiser,Right,4.41,11,10,0,0.24813895781637718,34,34,0,202,99,200,126,85,13,12,0
keyji01,Jimmy Key,Left,4.2,6,3,0,0.244988864142539,25,11,0,79.1,37,77,53,23,3,1,1
kileda01,Darryl Kile,Right,5.2,13,17,0,0.2712973714768289,36,35,4,230.1,133,257,158,96,7,12,0
klinest02,Steve Kline,Left,2.76,3,6,1,0.22496371552975325,78,0,0,71.2,22,62,76,41,3,5,0
langsma01,Mark Langston,Left,5.86,4,6,0,0.3054524693120183,22,16,0,81.1,53,107,56,41,1,3,1
leitema01,Mark Leiter,Right,3.55,7,5,23,0.20205066344993966,69,0,0,88.2,35,67,84,47,8,5,0
loeweca01,Carlton Loewer,Right,6.09,7,8,0,0.2958125240107568,21,21,1,122.2,83,154,58,39,3,4,0
maddugr01,Greg Maddux,Right,2.22,18,9,0,0.21069182389937108,34,34,9,251,62,201,204,45,7,4,0
mantema01,Matt Mantei,Right,2.96,3,4,9,0.18943170488534394,42,0,0,54.2,18,38,63,23,7,0,0
martipe02,Pedro Martinez,Right,2.89,19,7,0,0.2118071203244705,33,33,3,233.2,75,188,251,67,8,9,0
martira02,Ramon Martinez,Right,2.83,7,3,0,0.20021074815595363,15,15,1,101.2,32,76,91,41,3,2,0
mcelrch01,Chuck McElroy,Left,2.9,6,4,2,0.24972456849063537,78,0,0,68.1,22,68,61,24,0,0,0
mcmicgr01,Greg McMichael,Right,4.1,5,4,2,0.28421052631578947,64,0,0,68,31,81,55,35,4,6,1
mussimi01,Mike Mussina,Right,3.49,13,10,0,0.23411371237458195,29,29,4,206.1,80,189,175,41,4,10,0
myersra01,Randy Myers,Left,4.92,4,7,28,0.25922671353251314,62,0,0,56.2,31,59,41,26,2,4,0
nenro01,Robb Nen,Right,1.52,7,7,40,0.18232385661310258,78,0,0,88.2,15,59,110,25,1,3,0
nomohi01,Hideo Nomo,Right,4.92,6,12,0,0.21619823715283554,29,28,3,157.1,86,130,167,94,4,13,4
olsongr01,Gregg Olson,Right,3.01,3,4,30,0.214888718342287,64,0,0,68.2,23,56,55,25,1,2,0
oroscje01,Jesse Orosco,Left,3.18,4,1,7,0.21435228331780054,69,0,0,56.2,20,46,50,28,1,3,1
osunaan01,Antonio Osuna,Right,3.06,7,1,6,0.2061005770816158,54,0,0,64.2,22,50,72,32,2,1,0
paintla01,Lance Painter,Left,3.99,4,0,1,0.22913256955810146,65,0,0,47.1,21,42,39,28,4,2,0
parkch01,Chan Ho Park,Right,3.71,15,9,0,0.2315030246626338,34,34,2,220.2,91,199,191,97,11,6,2
percitr01,Troy Percival,Right,3.65,2,7,42,0.18472906403940886,67,0,0,66.2,27,45,87,37,3,3,0
perezyo01,Yorkis Perez,Left,3.81,0,2,0,0.20408163265306123,57,0,0,52,22,40,42,25,0,7,0
pettian01,Andy Pettitte,Left,4.24,16,11,0,0.25849250829234816,33,32,5,216.1,102,226,146,87,6,5,0
piscima01,Marc Pisciotta,Right,4.09,1,2,0,0.25,43,0,0,44,20,44,31,32,2,6,0
plunker01,Eric Plunk,Right,4.33,4,3,1,0.26226158038147135,63,0,0,72.2,35,77,74,30,5,1,0
portuma01,Mark Portugal,Right,4.44,10,5,0,0.2718106093818501,26,26,3,166.1,82,186,104,32,4,4,0
reynoar02,Armando Reynoso,Right,3.82,7,3,0,0.2385389489377563,11,11,0,68.1,29,64,40,32,5,2,2
rhodear01,Arthur Rhodes,Left,3.51,4,4,4,0.2195945945945946,45,0,0,77,30,65,83,34,1,1,1
riverma01,Mariano Rivera,Right,1.91,3,0,36,0.20752269779507132,54,0,0,61.1,13,48,36,17,1,0,0
rockejo01,John Rocker,Left,2.13,1,3,2,0.16176470588235295,47,0,0,38,9,22,42,22,3,6,0
rogerke01,Kenny Rogers,Left,3.17,16,8,0,0.23128227194492257,34,34,7,238.2,84,215,138,67,7,5,2
